benchmark,config,timing
q01,delta_scan (using ATTACH),0.3502836
q02,delta_scan (using ATTACH),1.7102928
q03,delta_scan (using ATTACH),1.2489884
q04,delta_scan (using ATTACH),14.585353000000001
q05,delta_scan (using ATTACH),2.5081824
q06,delta_scan (using ATTACH),1.2836218000000001
q07,delta_scan (using ATTACH),2.8334224
q08,delta_scan (using ATTACH),1.1724800000000002
q09,delta_scan (using ATTACH),11.85179
q10,delta_scan (using ATTACH),1.2348856
q11,delta_scan (using ATTACH),7.7801507999999995
q12,delta_scan (using ATTACH),0.32497000000000004
q13,delta_scan (using ATTACH),3.6957547999999996
q14,delta_scan (using ATTACH),26.630848399999998
q15,delta_scan (using ATTACH),0.266107
q16,delta_scan (using ATTACH),0.435262
q17,delta_scan (using ATTACH),2.4421799999999996
q18,delta_scan (using ATTACH),0.6391384000000001
q19,delta_scan (using ATTACH),1.7484306
q20,delta_scan (using ATTACH),0.2441568
q21,delta_scan (using ATTACH),0.3138848
q23,delta_scan (using ATTACH),20.921636
q24,delta_scan (using ATTACH),3.2870201999999997
q25,delta_scan (using ATTACH),2.1691686
q26,delta_scan (using ATTACH),0.502602
q27,delta_scan (using ATTACH),7.456449000000001
q28,delta_scan (using ATTACH),8.021668600000002
q29,delta_scan (using ATTACH),2.8834913999999996
q30,delta_scan (using ATTACH),0.21675339999999998
q31,delta_scan (using ATTACH),1.6626684
q32,delta_scan (using ATTACH),0.1455574
q33,delta_scan (using ATTACH),1.5421364
q34,delta_scan (using ATTACH),1.7875722
q35,delta_scan (using ATTACH),2.1370742
q36,delta_scan (using ATTACH),1.5998664000000002
q37,delta_scan (using ATTACH),0.5157191999999999
q38,delta_scan (using ATTACH),2.3966276
q39,delta_scan (using ATTACH),1.8112724
q40,delta_scan (using ATTACH),0.4649452
q41,delta_scan (using ATTACH),0.025040600000000003
q42,delta_scan (using ATTACH),1.012057
q43,delta_scan (using ATTACH),1.4990082
q44,delta_scan (using ATTACH),2.9542
q45,delta_scan (using ATTACH),0.42935239999999997
q46,delta_scan (using ATTACH),2.8011364
q47,delta_scan (using ATTACH),3.9088305999999995
q48,delta_scan (using ATTACH),2.8189214
q49,delta_scan (using ATTACH),2.2400388
q50,delta_scan (using ATTACH),2.7893592000000003
q51,delta_scan (using ATTACH),7.3874172
q52,delta_scan (using ATTACH),1.0425495999999999
q53,delta_scan (using ATTACH),1.5212904
q54,delta_scan (using ATTACH),1.3100314000000002
q55,delta_scan (using ATTACH),0.9968293999999999
q56,delta_scan (using ATTACH),1.5598904
q57,delta_scan (using ATTACH),1.0177916
q58,delta_scan (using ATTACH),1.2198791999999998
q59,delta_scan (using ATTACH),3.7670216000000005
q60,delta_scan (using ATTACH),1.6883381999999998
q61,delta_scan (using ATTACH),3.5510396
q62,delta_scan (using ATTACH),0.7928092
q63,delta_scan (using ATTACH),1.5611701999999998
q64,delta_scan (using ATTACH),6.091844
q65,delta_scan (using ATTACH),4.5406234
q66,delta_scan (using ATTACH),0.9120804
q68,delta_scan (using ATTACH),2.9449662
q69,delta_scan (using ATTACH),1.2642716
q70,delta_scan (using ATTACH),2.9037657999999995
q71,delta_scan (using ATTACH),1.6504394000000002
q72,delta_scan (using ATTACH),2.571508
q73,delta_scan (using ATTACH),1.7831394
q74,delta_scan (using ATTACH),5.260558999999999
q75,delta_scan (using ATTACH),4.161243600000001
q76,delta_scan (using ATTACH),2.4920306
q77,delta_scan (using ATTACH),1.8127822000000002
q78,delta_scan (using ATTACH),7.8917764
q79,delta_scan (using ATTACH),2.9428872
q80,delta_scan (using ATTACH),3.4198814
q81,delta_scan (using ATTACH),0.311113
q82,delta_scan (using ATTACH),0.8636206
q83,delta_scan (using ATTACH),0.20499119999999998
q84,delta_scan (using ATTACH),0.1602598
q85,delta_scan (using ATTACH),1.9979648
q86,delta_scan (using ATTACH),0.4305968
q87,delta_scan (using ATTACH),2.5511538
q88,delta_scan (using ATTACH),8.8675258
q89,delta_scan (using ATTACH),1.6318131999999999
q90,delta_scan (using ATTACH),0.5212760000000001
q91,delta_scan (using ATTACH),0.10027074999999999
q92,delta_scan (using ATTACH),0.4570892
q93,delta_scan (using ATTACH),3.1631208
q94,delta_scan (using ATTACH),0.7238758000000001
q95,delta_scan (using ATTACH),8.458072
q96,delta_scan (using ATTACH),1.0252614
q97,delta_scan (using ATTACH),2.927641
q98,delta_scan (using ATTACH),1.0092134
q99,delta_scan (using ATTACH),0.9957217999999999
q01,parquet_scan (using glob),0.4735184
q02,parquet_scan (using glob),1.5967796
q03,parquet_scan (using glob),1.097745
q04,parquet_scan (using glob),12.8816274
q05,parquet_scan (using glob),2.2677412
q06,parquet_scan (using glob),1.114109
q07,parquet_scan (using glob),2.448892
q08,parquet_scan (using glob),1.0806062
q09,parquet_scan (using glob),10.5756434
q10,parquet_scan (using glob),1.0073764000000003
q11,parquet_scan (using glob),7.3810614
q12,parquet_scan (using glob),0.2565816
q13,parquet_scan (using glob),3.3839075999999997
q14,parquet_scan (using glob),24.990498
q15,parquet_scan (using glob),0.2432426
q16,parquet_scan (using glob),0.395095
q17,parquet_scan (using glob),2.2865379999999997
q18,parquet_scan (using glob),0.6024236000000001
q19,parquet_scan (using glob),1.6296590000000002
q20,parquet_scan (using glob),0.2214042
q21,parquet_scan (using glob),0.28449359999999996
q23,parquet_scan (using glob),21.2466078
q24,parquet_scan (using glob),3.0674046
q25,parquet_scan (using glob),2.1145044
q26,parquet_scan (using glob),0.4427644
q27,parquet_scan (using glob),6.7507896
q28,parquet_scan (using glob),7.5284683999999995
q29,parquet_scan (using glob),2.7723496
q30,parquet_scan (using glob),0.2840262
q31,parquet_scan (using glob),1.5594354
